Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,135,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,126,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,121,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,131,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,128,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,126,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,178,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,123,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,127,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,119,14.7
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,131,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,134,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,124,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,127,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,125,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,121,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,122,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,246,146.6
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,132,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,233,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,303,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,169,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,236,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,162,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,180,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,178,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,156,
Acton,10/12/2005,5,1817,118,,693115,4383231,77001,181,
Acton,10/12/2005,5,1817,118,,693115,4383231,77006,218,
Acton,10/12/2005,5,1817,118,,693115,4383231,43003,192,
Acton,10/12/2005,5,1817,118,,693115,4383231,43003,146,
Acton,10/12/2005,5,1817,118,,693115,4383231,43003,156,
Acton,10/12/2005,5,1817,118,,693115,4383231,77009,133,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,182,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,164,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,129,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,199,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,130,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,132,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,131,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,179,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,197,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,176,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,131,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,122,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,129,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,129,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,188,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,125,
Acton,10/12/2005,5,1817,118,,693115,4383231,20003,128,
